Country,University,College_1st_Choice,Application_Source,Course,Education_Level,Season,Month_Year
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
Zimbabwe,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Health Informatics,MS,Spring,March 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Fall,September 2023
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Audit and Advisory Services,MS,Spring,March 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Audit and Advisory Services,MS,Spring,March 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Spring,March 2024
United states,DePaul University,College of Science and Health,Non Study Group,Physics,MS,Fall,September 2025
Ghana,DePaul University,College of Education,Non Study Group,Curriculum Studies,PHD,Winter,January 2026
Nigeria,DePaul University,School of Psychology,Non Study Group,Community Psychology,MA,Fall,September 2025
Nepal,DePaul University,College of Liberal Arts and Social Sciences,Non Study Group,Sustainable Urban Development,MA,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2025
Ghana,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2025
Uzbekistan,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,Unknown,Winter,January 2025
Nigeria,DePaul University,School of Continuing and Professional Studies,Non Study Group,Non-Degree,Non-Degree,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
Ghana,DePaul University,College of Liberal Arts and Social Sciences,Non Study Group,Social Work,MS,Fall,September 2025
Germany,DePaul University,College of Science and Health,Non Study Group,Applied Mathematics,MS,Fall,September 2024
India,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,MED,Spring,March 2024
Iran,DePaul University,College of Education,Non Study Group,Educational Leadership,MA,Winter,January 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Audit and Advisory Services,MS,Winter,January 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Winter,January 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Winter,January 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Winter,January 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Winter,January 2024
Ethiopia,DePaul University,College of Science and Health,Non Study Group,Biological Sciences,MS,Fall,September 2024
Ethiopia,DePaul University,College of Science and Health,Non Study Group,Biological Sciences,MS,Fall,September 2024
Ethiopia,DePaul University,College of Science and Health,Non Study Group,Biological Sciences,MS,Fall,September 2024
United states,DePaul University,College of Communication,Non Study Group,Public Relations and Advertising,MA,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Information Systems,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Information Systems,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Information Systems,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Information Systems,MS,Winter,January 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
Sudan,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Spring,March 2024
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Iran,DePaul University,College of Science and Health,Non Study Group,Public Health,MPH,Fall,September 2025
Uganda,DePaul University,College of Science and Health,Non Study Group,Applied Statistics,MS,Spring,March 2025
Uganda,DePaul University,College of Science and Health,Non Study Group,Applied Statistics,MS,Spring,March 2025
Ghana,DePaul University,College of Science and Health,Non Study Group,Mathematics Education,MA,Winter,January 2024
Mexico,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Human-Computer Interaction,MS,Fall,September 2024
Mexico,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Human-Computer Interaction,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Winter,January 2025
India,DePaul University,College of Science and Health,Non Study Group,Chemistry,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Winter,January 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Audit and Advisory Services,MS,Fall,September 2023
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Audit and Advisory Services,MS,Fall,September 2023
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Fall,September 2024
United kingdom,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Business Information Technology,MS,Winter,January 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Human Resources,MS,Fall,September 2025
United states,DePaul University,College of Liberal Arts and Social Sciences,Non Study Group,Philosophy,MA,Fall,September 2025
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Human Resources,MS,Fall,September 2024
Italy,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Spring,March 2024
Ghana,DePaul University,College of Liberal Arts and Social Sciences,Non Study Group,Applied Diplomacy,MA,Spring,March 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Part-time MBA,Unknown,Fall,September 2023
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Business Information Technology,MS,Fall,September 2025
Ghana,DePaul University,College of Education,Non Study Group,Elementary Education,MA,Fall,September 2025
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Human-Computer Interaction,MS,Spring,March 2025
Nigeria,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Winter,January 2025
China,DePaul University,College of Education,Non Study Group,Curriculum Studies,EDD,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
Nigeria,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Network Engineering and Security,MS,Spring,March 2025
United states,DePaul University,College of Liberal Arts and Social Sciences,Non Study Group,Sustainable Urban Development,MA,Fall,September 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Winter,January 2024
Ghana,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Doctorate in Business Administration,DBA,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Fall,September 2024
China,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Human Resources,MS,Fall,September 2024
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Winter,January 2025
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Winter,January 2025
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Winter,January 2025
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Winter,January 2025
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Winter,January 2025
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Spring,March 2024
Malawi,DePaul University,College of Liberal Arts and Social Sciences,Non Study Group,French,MA,Winter,January 2026
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Fall,September 2024
Kenya,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Winter,January 2025
Ghana,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Fall,September 2024
